[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.011s
[StudentAgent] Player 1 chose move with value=-12.37, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-8.06, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.22, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-77.55, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-40.83, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-12.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=16.77, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=4.17, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-25.31, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-61.53, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.45, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-12.18, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-11.74, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=12.25, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.02, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.02, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-0.40, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=28.33, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=27.94, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=36.51, final depth=2, time=1.601s
[StudentAgent] Player 2 chose move with value=27.26, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=29.17, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=24.30, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=30.49, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=2.23, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=8.63, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=15.39, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=6.27, final depth=3, time=1.600s
