[StudentAgent] Player 2 chose move with value=30.49, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=2.23, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=8.63, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=15.39, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=6.27, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=1.42, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=22.26, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=20.79, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=31.29, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=29.67, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=35.27, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=23.57, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=5.90, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=8.10, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=18.50, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=32.06, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=19.50, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=19.50, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=17.96, final depth=5, time=1.601s
[StudentAgent] Player 2 chose move with value=63.10, final depth=6, time=1.196s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.037s
[StudentAgent] Player 1 chose move with value=-11.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.05, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-21.65, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-65.68, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-53.22, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-50.81, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-45.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-38.86, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-39.43, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-44.61, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-46.98, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.20, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-31.49, final depth=4, time=1.600s
